code,krName,enName,ipoDate,exchange
98120,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008/09/23,KOSDAQ
131100,스카이이앤엠,"SKY E&M Co., Ltd.",2011/06/14,KOSDAQ
9520,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997/11/10,KOSDAQ
95570,AJ네트웍스,"AJ Networks Co.,Ltd.",2015/08/21,KOSPI
6840,AK홀딩스,"AK Holdings, Inc.",1999/08/11,KOSPI
282330,BGF리테일,BGF Retail,2017/12/08,KOSPI
27410,BGF,BGF,2014/05/19,KOSPI
138930,BNK금융지주,BNK Financial Group Inc.,2011/03/30,KOSPI
1465,BYC우,BYC(1P),1989/09/05,KOSPI
1460,BYC,BYC,1975/06/02,KOSPI
1045,CJ우,CJ(1P),1989/08/18,KOSPI
00104K,CJ4우(전환),CJ(4PC),2019/08/09,KOSPI
1040,CJ,CJ Corp.,1973/06/29,KOSPI
11155,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990/01/13,KOSPI
11150,CJ씨푸드,CJSEAFOODCORPORATION,1988/11/26,KOSPI
58820,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001/08/31,KOSDAQ
590,CS홀딩스,CSHOLDINGS,1975/12/22,KOSPI
12030,DB,DB Inc.,1993/01/06,KOSPI
16610,DB금융투자,"DB Financial Investment Co., LTD.",1988/06/27,KOSPI
5830,DB손해보험,DB INSURANCE,1973/06/28,KOSPI
995,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007/05/21,KOSPI
990,DB하이텍,"DB HiTek Co.,LTD",1975/12/12,KOSPI
139130,DGB금융지주,DGB Financial Group,2011/06/07,KOSPI
1530,DI동일,DI DONGIL,1964/01/04,KOSPI
215,DL우,DL(1P),1989/08/21,KOSPI
210,DL,DL,1976/02/02,KOSPI
37550K,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021/01/25,KOSPI
375500,DL이앤씨,"DL E&C CO., LTD.",2021/01/25,KOSPI
155660,DSR,DSR CORP,2013/05/15,KOSPI
69730,DSR제강,DSRWIRECORP,2003/01/28,KOSPI
17940,E1,E1Corporation,1997/08/27,KOSPI
365550,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020/12/23,KOSPI
7700,F&F,F&F,1984/10/04,KOSPI
78935,GS우,GS Holdings(1P),2004/08/05,KOSPI
6360,GS건설,GS Engineering & Construction Corp,1981/08/03,KOSPI
78930,GS,GS Holdings,2004/08/05,KOSPI
12630,HDC,"HDC HOLDINGS CO.,Ltd",1996/10/16,KOSPI
294870,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018/06/12,KOSPI
3560,IHQ,IHQ,1973/12/18,KOSPI
175330,JB금융지주,"JB Financial Group Co., Ltd.",2013/07/18,KOSPI
234080,JW생명과학,JW LIFESCIENCE,2016/10/27,KOSPI
1065,JW중외제약우,JWPHARMACEUTICAL(1P),1994/10/21,KOSPI
1067,JW중외제약2우B,JWPHARMACEUTICAL(2PB),1998/04/13,KOSPI
1060,JW중외제약,JWPHARMACEUTICAL,1976/06/14,KOSPI
96760,JW홀딩스,JW HOLDINGS CORPORATION,2007/07/31,KOSPI
105560,KB금융,KB Financial Group,2008/10/10,KOSPI
24120,KB오토시스,"KB Autosys Co.,Ltd",1994/12/07,KOSDAQ
9070,KCTC,KCTC,1978/09/29,KOSPI
44180,KD,KD Corporation,2000/11/16,KOSDAQ
16385,KG동부제철우,KG DONGBUSTEEL(1P),1989/09/21,KOSPI
16380,KG동부제철,KG DONGBUSTEEL,1986/02/03,KOSPI
1390,KG케미칼,KG Chemical,1989/08/25,KOSPI
1940,KISCO홀딩스,KISCO Holdings,1989/11/13,KOSPI
25000,KPX케미칼,KPXCHEMICAL,1994/12/27,KOSPI
92230,KPX홀딩스,KPXHOLDINGS,2006/10/12,KOSPI
40,KR모터스,KR MOTORS,1976/05/25,KOSPI
93050,LF,LF,2006/12/01,KOSPI
3555,LG우,LG Corp.(1P),1988/11/18,KOSPI
34220,LG디스플레이,LG Display,2004/07/23,KOSPI
3550,LG,LG Corp.,1970/02/13,KOSPI
1120,LG상사,LGInternational,1976/01/30,KOSPI
51905,LG생활건강우,"LGHOUSEHOLD&HEALTHCARE,LTD(1P)",2001/04/25,KOSPI
51900,LG생활건강,"LGHOUSEHOLD&HEALTHCARE,LTD",2001/04/25,KOSPI
32640,LG유플러스,LG Uplus,2008/04/21,KOSPI
11070,LG이노텍,LG Innotek,2008/07/24,KOSPI
66575,LG전자우,LGELECTRONICS(1P),2002/04/22,KOSPI
66570,LG전자,LGELECTRONICS,2002/04/22,KOSPI
51915,LG화학우,"LGCHEM,LTD(1P)",2001/04/25,KOSPI
51910,LG화학,"LGCHEM,LTD",2001/04/25,KOSPI
79550,LIG넥스원,"LIG Nex1 Co., Ltd.",2015/10/02,KOSPI
10120,LS ELECTRIC,LS ELECTRIC,1994/07/11,KOSPI
680,LS네트웍스,LSNetworks,1973/11/15,KOSPI
6260,LS,LS,1977/06/30,KOSPI
23150,MH에탄올,MHETHANOL,1996/12/24,KOSPI
35420,NAVER,NAVER,2008/11/28,KOSPI
181710,NHN,NHN,2013/08/29,KOSPI
338100,NH프라임리츠,NH Prime REIT,2019/12/05,KOSPI
34310,NICE,NICEHoldings,2004/02/04,KOSPI
8260,NI스틸,NI STEEL,1975/06/28,KOSPI
4255,NPC우,NPC(1P),1990/01/15,KOSPI
4250,NPC,NPC,1969/09/08,KOSPI
10060,OCI,OCI,1985/07/09,KOSPI
100840,S&TC,S&T Corporation,2008/02/22,KOSPI
64960,S&T모티브,"S&T MOTIV CO., LTD",2002/03/11,KOSPI
3570,S&T중공업,S&TDynamics,1976/07/08,KOSPI
36530,S&T홀딩스,S&T Holdings,2002/10/22,KOSPI
10955,S-Oil우,S-Oil(1P),1992/05/28,KOSPI
10950,S-Oil,S-OilCorporation,1987/05/27,KOSPI
950110,SBI핀테크솔루션즈,"SBI FinTech Solutions Co., Ltd.",2012/12/17,KOSDAQ
101060,SBS미디어홀딩스,SBS Media Holdings,2008/03/24,KOSPI
5090,SGC에너지,SGC Energy,1993/01/06,KOSPI
2360,SH에너지화학,SH ENERGY & CHEMICAL,1985/12/23,KOSPI
9160,SIMPAC,SIMPACInc,1989/07/29,KOSPI
123700,SJM,"SJM CO.,LTD",2010/05/31,KOSPI
25530,SJM홀딩스,SJM HOLDINGS,1997/02/12,KOSPI
03473K,SK우,SK(1P),2015/08/17,KOSPI
11790,SKC,SKC,1997/07/18,KOSPI
18670,SK가스,SKGas,1997/08/27,KOSPI
1745,SK네트웍스우,"SKNetworksCo.,Ltd(1P)",1989/12/21,KOSPI
